age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
36,Private,191754,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
52,Self-emp-not-inc,30008,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States
54,,108233,Assoc-acdm,12,Separated,,Not-in-family,Black,Female,0,0,20,United-States
33,Private,80945,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
23,Private,120910,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,35,United-States
33,Private,76493,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States
28,Private,55360,HS-grad,9,Never-married,Sales,Other-relative,Black,Male,0,0,40,United-States
77,Private,89655,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
41,Private,227890,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,46,United-States
30,Private,189620,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,6849,0,40,England
49,State-gov,336509,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
44,Private,180019,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
37,Private,105044,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States
44,Private,48087,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
34,State-gov,154246,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,4865,0,55,United-States
27,Local-gov,106179,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
34,Private,101709,HS-grad,9,Separated,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States
31,Private,198513,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
41,State-gov,201363,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States
28,,192257,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,5,United-States
40,Private,226585,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States
54,State-gov,198186,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,38,United-States
44,Private,229954,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
20,Private,174685,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States
47,Self-emp-inc,139268,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States
38,Federal-gov,236648,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
46,Private,172581,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States
49,Self-emp-inc,257764,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
33,Private,160614,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
24,Private,190293,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
31,Private,118941,Some-college,10,Divorced,Other-service,Own-child,White,Female,0,0,20,United-States
31,Private,162623,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
43,State-gov,52849,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
40,Self-emp-not-inc,33068,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States
22,Private,196943,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
30,Private,189759,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,4865,0,40,United-States
53,,237868,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,35,United-States
67,Private,53874,12th,8,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,Cuba
33,Private,82623,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,48,United-States
28,Private,250679,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
18,Self-emp-inc,357223,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States
22,Private,64292,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States
42,Private,201495,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
55,Federal-gov,272339,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
47,Private,151584,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States
71,Private,139031,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
19,Private,210364,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States
18,Private,51255,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,United-States
61,Private,162391,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1651,40,United-States
26,Private,34161,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States
44,Private,438696,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States
81,Private,39895,7th-8th,4,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States
52,Private,264129,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States
39,Private,195253,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
25,Private,179953,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,2597,0,31,United-States
20,Private,50397,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States
52,Private,94873,HS-grad,9,Widowed,Other-service,Unmarried,White,Male,0,0,19,United-States
38,Federal-gov,99280,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States
28,Private,269317,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,42,United-States
23,Private,35633,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
39,Private,279272,Assoc-acdm,12,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,60,United-States
